document_id,source_group,language,category,cluster_id,relative_path,actual_format,char_count,sha256,review_status
doc_0a4c8a970f36ba61,cn,zh,construction,near_0065,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/2.安全生产事故应急预案/河南黄海工程机械有限公司生产安全事故应急预案【47页】.doc,doc,28703,1921c8e7b881dc300b83188a88eacd084da3a89495c6cd579a30238a68545eb2,pending
doc_1258969f75db8be3,cn,zh,construction,near_0117,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【公路施工相关资料】/公路工程施工安全技术规范-JTG-F90-2015.docx,docx,63178,ba6ffea9a3a5303f22f0efa11562ee42aa599dd2d8a88181e68697c2dcbf9fa5,pending
doc_3069c2345d2d9747,cn,zh,construction,near_0292,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【公路施工相关资料】/公路路基施工技术规范.doc,doc,60150,5b9232d4551e79421b13f95d427340e4e55eaeeaeb87abd503f2dfdca60d3a7f,pending
doc_45af6334a9294a5a,cn,zh,construction,near_0421,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【公路施工相关资料】/公路施工安全管理制度.docx,docx,16405,ebbf5e2c4e5f16e4e84119b49aa977be4639337229ea7be52dee07f3b6c18a31,pilot_accepted
doc_899fb15090fd1b1f,cn,zh,construction,near_0814,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【重大危险源相关资料】/变电站工程施工危险点辨识及预控措施.doc,doc,30186,4159ccd2adcc521075be6a1bb2401a1c9320e4e6e60bf0e0e906876f876431b9,pending
doc_8b2dfa3f00484cce,cn,zh,construction,near_0829,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【公路施工相关资料】/【台账范本】公路建设安全管理用表.doc,doc,108341,0627146ffc580a7d075d2abfd45293cc7d5bffd8d58795476c990ef710b69bbc,pending
doc_930d7b4d399616b5,cn,zh,construction,near_0866,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/2.安全生产事故应急预案/施工现场施工生产安全事故应急预案【65页】.doc,doc,27634,8ca76bf7f6023521674f729db4fbac2c0cdcef4d80fe356773ce5f4ad2edb947,pending
doc_9494d418b0e39cea,cn,zh,construction,near_0871,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【重大危险源相关资料】/【建筑】项目重大危险源备案管理实施细则.docx,docx,3719,2db02f999f57f95333e5371c274e5d02539f6b87cf48c0df830621a3125d4313,pilot_accepted
doc_bcdb6eb18f4289ce,cn,zh,construction,near_1095,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/酌情增加【公路施工相关资料】/交底书与专项安全方案/高速公路工程技术交底大全.docx,docx,46967,9a535f475fdca9a5a46750ebb245700f4fce374e83c50750f7a6f591818ab260,pending
doc_d85da1816aa73638,cn,zh,construction,near_1261,cn/6098-安全生产应急预案企业事故消防处置演练方案编制模板/08.安全生产全套资料/安全生产全套资料/【重点】安全生产管理各类制度及责任书/建筑公司安全生产管理制度汇编.doc,doc,71188,8dae16539c8644ae8aadfac923761e718a6a5c2704bf3f1ddffca65b9e13b9df,pending
