document_id,cluster_id,source_group,category,char_count
doc_003e0812eccb06a2,near_0001,raib,collision,3644
doc_003ea51fb282d6ab,near_0002,cn,other,4853
doc_006e82883afef80f,near_0003,cn,other,2036
doc_00ecfce4888b3776,near_0004,raib,signal_or_spad,72982
doc_010bd16da0ff5e38,near_0005,cn,other,12086
doc_01a5b1f8a9f0140f,near_0006,raib,collision,121500
doc_01a94cb1af994230,near_0007,cn,emergency_drill,18565
doc_01acd0c989c850c7,near_0008,cn,other,4182
doc_01ad2ee59867e184,near_0009,cn,emergency_drill,2491
doc_1b9c7467b0083e47,near_0009,cn,emergency_drill,2491
doc_01d8f6b09cff2f35,near_0010,cn,other,4565
doc_01dda01212ea0e7c,near_0011,cn,other,3555
doc_021ec769fb7a4c39,near_0012,cn,fire,3781
doc_025a50b4b6668f48,near_0013,cn,other,866
doc_028914a5e5aaf8b1,near_0014,cn,other,2411
doc_029234eedf69f3ec,near_0015,raib,other,7634
doc_029af702cf48e94b,near_0016,cn,construction,5126
doc_02b2aadeac94f13f,near_0017,raib,collision,73554
doc_02d00fe46644fb43,near_0018,cn,other,848
doc_02edbf3ed2abaa95,near_0019,cn,construction,5704
doc_03218f39ecd7746b,near_0020,cn,other,24936
doc_03639ad925061429,near_0021,cn,other,7873
doc_03b747b542f87ec0,near_0022,cn,other,3743
doc_03cf81ad4e3a1e11,near_0023,raib,signal_or_spad,109437
doc_03f33365535921c4,near_0024,cn,other,8311
doc_0475342d6ed94c6a,near_0025,raib,collision,59579
doc_0477ada52886e273,near_0026,cn,other,26163
doc_048b99c2afc00a76,near_0027,cn,other,11950
doc_048f1b91d618e253,near_0028,raib,collision,62366
doc_0496081523070e2e,near_0029,cn,railway,4493
doc_04ab35ec39c16cc3,near_0030,cn,construction,5432
doc_04d9d48709d21d94,near_0031,cn,other,4273
doc_05133a26bbac29a9,near_0032,cn,other,33371
doc_051ee98434e98d29,near_0033,cn,management,16890
doc_05b069a32d5324d4,near_0034,cn,other,10518
doc_05deda14c12db4d5,near_0035,raib,collision,113864
doc_05fc341a9218c08a,near_0036,cn,fire,2780
doc_064247831c87f2cf,near_0037,cn,other,1115
doc_064ed53b3d70963f,near_0038,cn,other,9678
doc_0650c92090137cdf,near_0039,cn,emergency_drill,2248
doc_0651dc80c2ae6a37,near_0040,cn,other,6764
doc_068c3d8ffea0b682,near_0041,raib,collision,128963
