domain,method,mean,std
ai,bigru,0.19796954372616785,0.008602933486518444
ai,cross_residual,0.22002795836970312,0.012424678463684266
literature,bigru,0.14879729560149865,0.041978554642753296
literature,cross_residual,0.17797375345069275,0.036859459582343664
music,bigru,0.1258677775370622,0.0059240394889068515
music,cross_residual,0.15620138337006087,0.0232963557488067
politics,bigru,0.28156795254776723,0.01730480531180061
politics,cross_residual,0.3022990051577806,0.031655498634563566
science,bigru,0.16148555218634358,0.022792030808231962
science,cross_residual,0.17578612164237084,0.01730337110660345
