domain,step,loss
ai,50,64.66013671875
ai,100,31.66822265625
ai,150,19.38128173828125
ai,200,13.35362060546875
ai,250,10.46725341796875
ai,300,7.390228271484375
literature,50,70.89697265625
literature,100,35.365166015625
literature,150,20.54394287109375
literature,200,13.366600341796875
literature,250,9.764537353515625
literature,300,8.271669921875
music,50,51.231513671875
music,100,24.53494873046875
music,150,15.608817138671874
music,200,10.107269287109375
music,250,7.809957275390625
music,300,5.732874145507813
politics,50,58.429208984375
politics,100,33.3237939453125
politics,150,20.90215576171875
politics,200,17.5031787109375
politics,250,13.9160009765625
politics,300,12.10015869140625
science,50,72.711640625
science,100,47.220322265625
science,150,35.11081787109375
science,200,27.83935546875
science,250,22.52035400390625
science,300,20.221796875
