method,domain,mean_f1,sample_sd
zero-shot,ai,50.098730606488004,0.0
zero-shot,literature,64.26811237062591,0.0
zero-shot,music,71.71701361715448,0.0
zero-shot,politics,64.06864497676082,0.0
zero-shot,science,64.480111653873,0.0
domain-adapted,ai,69.1564197369824,0.6155844508735882
domain-adapted,literature,74.51980576346013,0.41486578880697766
domain-adapted,music,80.72882220740657,0.06381950565813052
domain-adapted,politics,79.55221215879541,0.3064006255416996
domain-adapted,science,73.2588136944281,0.2683247276492335
score-residual,ai,69.19388631519969,0.44147528850245543
score-residual,literature,74.5459563524347,0.36801184936143677
score-residual,music,80.96224796558599,0.012702394431459475
score-residual,politics,79.6584559162069,0.1291065488110177
score-residual,science,73.65137367670145,0.40925005733839265
