seed,domain,step,loss
13,ai,50,68.4914794921875
13,ai,100,35.1764892578125
13,ai,150,23.27041015625
13,ai,200,16.91107666015625
13,ai,250,13.0576171875
13,ai,300,10.5026806640625
29,ai,50,67.54240234375
29,ai,100,35.42265869140625
29,ai,150,24.1499072265625
29,ai,200,16.9220751953125
29,ai,250,12.537938232421874
29,ai,300,11.87229248046875
47,ai,50,66.8685107421875
47,ai,100,36.3515234375
47,ai,150,23.65646484375
47,ai,200,16.733502197265626
47,ai,250,12.288966064453126
47,ai,300,11.77018798828125
13,literature,50,70.36849609375
13,literature,100,39.1216943359375
13,literature,150,24.0779443359375
13,literature,200,17.734376220703126
13,literature,250,12.020673828125
13,literature,300,10.625201416015624
29,literature,50,69.8304931640625
29,literature,100,38.076572265625
29,literature,150,21.6503076171875
29,literature,200,16.14262451171875
29,literature,250,12.21817138671875
29,literature,300,10.35204833984375
47,literature,50,71.0508984375
47,literature,100,38.4772705078125
47,literature,150,24.9251806640625
47,literature,200,17.915784912109373
47,literature,250,13.423919677734375
47,literature,300,11.079874267578125
13,music,50,59.923828125
13,music,100,30.14998291015625
13,music,150,21.278974609375
13,music,200,14.04344482421875
13,music,250,11.65968994140625
13,music,300,9.152901000976563
29,music,50,57.4394287109375
29,music,100,28.52802001953125
29,music,150,18.8624560546875
29,music,200,13.9310693359375
29,music,250,11.1017626953125
29,music,300,9.501687622070312
47,music,50,56.9940869140625
47,music,100,30.65778076171875
47,music,150,20.411319580078125
47,music,200,14.775849609375
47,music,250,12.12729248046875
47,music,300,9.767115478515626
13,politics,50,67.457939453125
13,politics,100,37.8182470703125
13,politics,150,25.15226318359375
13,politics,200,22.476748046875
13,politics,250,17.959210205078126
13,politics,300,16.320250244140624
29,politics,50,67.634765625
29,politics,100,37.208505859375
29,politics,150,27.0751953125
29,politics,200,21.54330322265625
29,politics,250,17.361390380859376
29,politics,300,15.85307373046875
47,politics,50,66.34984375
47,politics,100,36.16855712890625
47,politics,150,26.85419189453125
47,politics,200,21.47560302734375
47,politics,250,18.147550048828126
47,politics,300,15.72150390625
13,science,50,70.9788525390625
13,science,100,48.1549658203125
13,science,150,37.4316552734375
13,science,200,27.8299609375
13,science,250,26.38675537109375
13,science,300,23.11457763671875
29,science,50,70.2656640625
29,science,100,47.9951953125
29,science,150,35.14975341796875
29,science,200,29.25249267578125
29,science,250,25.26843994140625
29,science,300,23.1826513671875
47,science,50,70.32296875
47,science,100,48.14921875
47,science,150,37.35959716796875
47,science,200,29.42548095703125
47,science,250,26.35185791015625
47,science,300,21.7293359375
