seed,domain,method,alpha,threshold,precision,recall,f1
13,ai,zero-shot,0.0,0.35,0.511520737327189,0.49087893864013266,0.5009873060648801
13,ai,domain-adapted,1.0,0.65,0.703016241299304,0.6699834162520729,0.6861024624964619
13,ai,score-residual,0.75,0.65,0.7396825396825397,0.6440022111663902,0.6885342789598109
29,ai,zero-shot,0.0,0.35,0.511520737327189,0.49087893864013266,0.5009873060648801
29,ai,domain-adapted,1.0,0.65,0.7046632124352331,0.6766169154228856,0.6903553299492386
29,ai,score-residual,1.0,0.65,0.7046632124352331,0.6766169154228856,0.6903553299492386
47,ai,zero-shot,0.0,0.35,0.511520737327189,0.49087893864013266,0.5009873060648801
47,ai,domain-adapted,1.0,0.65,0.7079545454545455,0.6887783305693753,0.6982347996637713
47,ai,score-residual,0.75,0.55,0.7111622554660529,0.6832504145936982,0.696926980546941
13,literature,zero-shot,0.0,0.55,0.7276785714285714,0.5754633715798765,0.6426811237062592
13,literature,domain-adapted,1.0,0.65,0.7757955641272902,0.7100617828773168,0.7414746543778801
13,literature,score-residual,0.75,0.55,0.7842465753424658,0.7074139452780229,0.7438515081206497
29,literature,zero-shot,0.0,0.55,0.7276785714285714,0.5754633715798765,0.6426811237062592
29,literature,domain-adapted,1.0,0.55,0.7648975791433892,0.7250661959399823,0.744449478930675
29,literature,score-residual,0.75,0.55,0.7772420443587271,0.7113857016769638,0.7428571428571429
47,literature,zero-shot,0.0,0.55,0.7276785714285714,0.5754633715798765,0.6426811237062592
47,literature,domain-adapted,1.0,0.25,0.7473684210526316,0.7519858781994704,0.7496700395952485
47,literature,score-residual,1.0,0.25,0.7473684210526316,0.7519858781994704,0.7496700395952485
13,music,zero-shot,0.0,0.55,0.7504094333442516,0.6867505995203836,0.7171701361715448
13,music,domain-adapted,1.0,0.65,0.8322704081632653,0.7823741007194245,0.8065512978986402
13,music,score-residual,0.75,0.55,0.8387407645358176,0.782673860911271,0.8097379438672664
29,music,zero-shot,0.0,0.55,0.7504094333442516,0.6867505995203836,0.7171701361715448
29,music,domain-adapted,1.0,0.65,0.8325907065563335,0.7841726618705036,0.8076566841617783
29,music,score-residual,0.75,0.65,0.8473132372214941,0.7751798561151079,0.8096430807764559
47,music,zero-shot,0.0,0.55,0.7504094333442516,0.6867505995203836,0.7171701361715448
47,music,domain-adapted,1.0,0.65,0.8325907065563335,0.7841726618705036,0.8076566841617783
47,music,score-residual,0.75,0.65,0.8502144506763445,0.7724820143884892,0.8094864143238574
13,politics,zero-shot,0.0,0.45,0.642754662840746,0.6386315039201711,0.6406864497676082
13,politics,domain-adapted,1.0,0.65,0.8269674442450654,0.7664528391541934,0.7955610357583232
13,politics,score-residual,0.75,0.55,0.8302421432251417,0.7657400807792825,0.796687677666543
29,politics,zero-shot,0.0,0.45,0.642754662840746,0.6386315039201711,0.6406864497676082
29,politics,domain-adapted,1.0,0.65,0.8254826254826255,0.7619387027797576,0.7924388435878429
29,politics,score-residual,0.75,0.45,0.8123915737298637,0.7788073176526491,0.7952450266860748
47,politics,zero-shot,0.0,0.45,0.642754662840746,0.6386315039201711,0.6406864497676082
47,politics,domain-adapted,1.0,0.65,0.8320885912953901,0.7676407697790449,0.7985664854176965
47,politics,score-residual,0.75,0.55,0.8329886246122027,0.7655024946543122,0.7978209731335891
13,science,zero-shot,0.0,0.55,0.699205448354143,0.5982518614438329,0.64480111653873
13,science,domain-adapted,1.0,0.45,0.7280281240012784,0.7374554872126902,0.7327114827918944
13,science,score-residual,0.75,0.45,0.7483085250338295,0.7160893493039818,0.7318444995864349
29,science,zero-shot,0.0,0.55,0.699205448354143,0.5982518614438329,0.64480111653873
29,science,domain-adapted,1.0,0.55,0.7420541987286718,0.7180317254775008,0.7298453438631127
29,science,score-residual,0.75,0.55,0.7875229357798165,0.6947232113952736,0.7382180942552459
47,science,zero-shot,0.0,0.55,0.699205448354143,0.5982518614438329,0.64480111653873
47,science,domain-adapted,1.0,0.55,0.7424892703862661,0.7280673357073486,0.7352075841778359
47,science,score-residual,0.75,0.55,0.7805755395683454,0.7024927160893493,0.7394786164593627
