budget_documents,seed,system,system_name,train_examples,steps,loss_observations,final_loss,mean_loss,wall_clock_seconds,examples_per_second,tokens_per_second,prompt_tokens,target_tokens,peak_allocated_mib,peak_reserved_mib,peak_device_mib,energy_kwh,electricity_cost_cny,truncated_prompts,truncated_answers,skipped_overlength
10,20260830,SOE,Source-Only Extraction,139,35,7,0.1142217144370079,0.23549043302025113,617.603,0.244588,649.118,334752,34144,12019.81,15498.0,16010.0,0.058533,0.03512,0,0,0
10,20260830,EAE,Exact-Anchor Extraction,139,35,7,0.21242527663707733,0.26943584382534025,794.249,0.18,597.728,427435,34144,14950.01,17058.0,17831.0,0.078245,0.046947,0,0,0
10,20260830,HRGE,High-Recall Graph Extraction,139,35,7,0.14815068244934082,0.26098315226180213,667.811,0.21206,622.393,373819,34144,13936.79,15896.0,16408.0,0.066242,0.039745,0,0,0
10,20260831,SOE,Source-Only Extraction,139,35,7,0.28995516896247864,0.2538976556488446,580.504,0.244642,649.263,334752,34144,12019.81,14116.0,14628.0,0.057433,0.03446,0,0,0
10,20260831,EAE,Exact-Anchor Extraction,139,35,7,0.280648797750473,0.23893732513700214,784.605,0.180036,597.849,427435,34144,14950.01,17196.0,17708.0,0.077954,0.046772,0,0,0
10,20260831,HRGE,High-Recall Graph Extraction,139,35,7,0.2951000928878784,0.24966866331441062,667.738,0.212123,622.579,373819,34144,13936.79,15898.0,16410.0,0.066225,0.039735,0,0,0
10,20260901,SOE,Source-Only Extraction,139,35,7,0.16501134634017944,0.24503066028867448,580.3,0.244737,649.513,334752,34144,12019.81,14136.0,14855.0,0.057388,0.034433,0,0,0
10,20260901,EAE,Exact-Anchor Extraction,139,35,7,0.1620020568370819,0.24845467252390727,784.513,0.180028,597.823,427435,34144,14950.01,17238.0,17750.0,0.077975,0.046785,0,0,0
10,20260901,HRGE,High-Recall Graph Extraction,139,35,7,0.1732381284236908,0.24798342415264674,667.478,0.212185,622.76,373819,34144,13936.79,15978.0,16490.0,0.066202,0.039721,0,0,0
25,20260830,SOE,Source-Only Extraction,313,79,15,0.18433594703674316,0.21406549045556708,1308.131,0.241649,650.272,769575,72702,12022.49,14136.0,14648.0,0.130823,0.078494,0,0,0
