budget_documents,system,n_completed_seeds,train_examples_mean,steps_mean,total_truncated_prompts,total_truncated_answers,total_skipped_overlength,final_loss_mean,final_loss_sd,mean_loss_mean,mean_loss_sd,wall_clock_seconds_mean,wall_clock_seconds_sd,examples_per_second_mean,examples_per_second_sd,tokens_per_second_mean,tokens_per_second_sd,peak_allocated_mib_mean,peak_allocated_mib_sd,peak_reserved_mib_mean,peak_reserved_mib_sd,peak_device_mib_mean,peak_device_mib_sd,energy_kwh_mean,energy_kwh_sd,electricity_cost_cny_mean,electricity_cost_cny_sd
10,EAE,3,139.0,35.0,0,0,0,0.21835871040821075,0.05954549949055478,0.25227594716208324,0.015604214669152764,787.789,5.594713218744995,0.18002133333333334,1.8903262505013676e-05,597.8,0.06369458375721802,14950.01,0.0,17164.0,94.17005893594843,17763.0,62.52199612936234,0.078058,0.00016228678319567288,0.04683466666666667,9.75004273494919e-05
10,HRGE,3,139.0,35.0,0,0,0,0.2054963012536367,0.07860645388772756,0.2528784132429532,0.007069307157057569,667.6756666666666,0.17503237795719734,0.21212266666666668,6.250066666311814e-05,622.5773333333333,0.18350567656976235,13936.79,0.0,15924.0,46.776062254106,16436.0,46.776062254106,0.066223,2.0074859899884416e-05,0.03973366666666667,1.205542754668492e-05
10,SOE,3,139.0,35.0,0,0,0,0.18972940991322199,0.09043671135089253,0.24480624965259007,0.009205663003002098,592.8023333333333,21.478249563996886,0.24465566666666666,7.54342981231627e-05,649.298,0.19981241202687267,12019.81,0.0,14583.333333333334,792.1876881985312,15164.333333333334,741.1115525569234,0.057784666666666665,0.0006484661389257998,0.034671,0.00038907968335547954
25,EAE,3,313.0,79.0,0,0,0,0.19579575955867767,0.04202713723235375,0.20893781261227803,0.005119938174426798,1783.2633333333333,1.134273482601685,0.17682966666666666,0.00010200163397383807,595.8526666666667,0.34363546576767406,15056.71,0.0,17298.0,131.14877048604,17813.333333333332,135.76941236277534,0.178284,0.00010133607452432914,0.10697,6.1000000000004925e-05
25,HRGE,3,313.0,79.0,0,0,0,0.23110266029834747,0.0166607941058936,0.2163996971546346,0.0069016416356005375,1531.3303333333333,0.6388367031826975,0.2061663333333333,0.00010179063480170308,620.9756666666667,0.3074513511652722,14418.88,0.0,16411.333333333332,213.85353243127253,17080.0,316.97160756130825,0.15333366666666667,8.312841471683033e-05,0.09200033333333334,5.005330491919059e-05
25,SOE,3,313.0,79.0,0,0,0,0.2022348940372467,0.06925420106932975,0.2113852151178358,0.006071582077094626,1307.8816666666667,0.2285833181431796,0.24171166666666666,5.604759881862148e-05,650.4416666666667,0.15164541975715048,12022.49,0.0,14530.0,680.6967019164997,15129.666666666666,619.1189977163787,0.13083233333333333,8.144527815255222e-06,0.07849966666666666,4.932882862321181e-06
50,EAE,3,650.0,163.0,0,0,0,0.08563046405712764,0.04331478824482263,0.18288630922848706,0.0037282383440376383,3748.629,8.755732921920352,0.174263,0.00012032871643959244,593.6376666666666,0.4092790409162317,15394.41,0.0,17611.333333333332,98.65765724632494,18220.0,47.085029467974216,0.37565133333333334,0.00041252919088632565,0.22539066666666666,0.0002474920874156022
50,HRGE,3,650.0,163.0,0,0,0,0.18000848839680353,0.07594730871145741,0.18285034196965533,0.002733440496058466,3262.436333333333,0.4241336267420397,0.20012733333333335,3.43850742813433e-05,616.614,0.10573079021741616,14670.98,0.0,17104.666666666668,80.82903768654761,17777.333333333332,100.3510504844535,0.3277893333333333,0.00015791242298608167,0.19667366666666666,9.49754354206029e-05
50,SOE,3,650.0,163.0,0,0,0,0.1262775883078575,0.05691556322820676,0.18398647812901708,0.002646266845562913,2715.3026666666665,1.1784626991691556,0.24063966666666667,0.00010428966072115786,651.4946666666666,0.2831860401455988,12022.49,0.0,14758.0,103.92304845413264,15270.0,103.92304845413264,0.27266,0.0001653118265581707,0.16359633333333332,9.91581228812504e-05
100,EAE,3,1266.0,317.0,0,0,0,0.17401174207528433,0.04013279837071101,0.16946456043909527,0.002386435819774775,7428.334,9.984261014216331,0.17112866666666668,0.0001299782033009215,589.5133333333333,0.44727210211832497,15453.62,0.0,17858.0,124.89995996796796,18639.0,132.31779925618474,0.7447306666666667,0.0004632540699587219,0.44683833333333334,0.0002782019650062353
100,HRGE,3,1266.0,317.0,0,0,0,0.15535462150971094,0.05621484654402713,0.17089811531135463,0.003369602658396407,6623.020666666666,95.37680257449047,0.19193333333333334,0.0029471077912647382,604.8053333333334,9.286850129798257,15129.72,0.0,17411.333333333332,200.33305601755626,18187.0,199.36900461205096,0.6656213333333334,0.009890971708246508,0.39937266666666665,0.005934698166994965
100,SOE,3,1266.0,317.0,0,0,0,0.18087688088417053,0.04301497235825299,0.16955453442207896,0.002881519823504845,5305.7863333333335,16.057705388172067,0.23971699999999999,9.786214794290277e-05,650.6963333333333,0.2655039233859344,12025.17,0.0,14224.666666666666,133.16656236958787,15003.0,132.3782459469833,0.5333106666666667,0.0007517827700428369,0.3199863333333333,0.0004516739236809171
