dataset,split,kind,label,count,proportion
ade,train,entity,Adverse-Effect,4631,0.531260754846851
ade,train,entity,Drug,4086,0.468739245153149
ade,train,relation,Adverse-Effect,5470,1.0
ade,validation,entity,Adverse-Effect,529,0.5311244979919679
ade,validation,entity,Drug,467,0.46887550200803213
ade,validation,relation,Adverse-Effect,627,1.0
ade,test,entity,Adverse-Effect,616,0.5470692717584369
ade,test,entity,Drug,510,0.45293072824156305
ade,test,relation,Adverse-Effect,724,1.0
conll04,train,entity,Loc,1219,0.3609712762807225
conll04,train,entity,Org,616,0.18241042345276873
conll04,train,entity,Other,455,0.13473497186852235
conll04,train,entity,Peop,1087,0.3218833283979864
conll04,train,relation,Kill,179,0.13951675759937646
conll04,train,relation,Live_In,330,0.2572096648480125
conll04,train,relation,Located_In,247,0.19251753702260327
conll04,train,relation,OrgBased_In,271,0.2112236944660951
conll04,train,relation,Work_For,256,0.1995323460639127
conll04,validation,entity,Loc,322,0.36058230683090703
conll04,validation,entity,Org,170,0.19036954087346025
conll04,validation,entity,Other,118,0.13213885778275475
conll04,validation,entity,Peop,283,0.3169092945128779
conll04,validation,relation,Kill,42,0.12244897959183673
conll04,validation,relation,Live_In,91,0.2653061224489796
conll04,validation,relation,Located_In,65,0.18950437317784258
conll04,validation,relation,OrgBased_In,76,0.22157434402332363
conll04,validation,relation,Work_For,69,0.20116618075801748
conll04,test,entity,Loc,427,0.3957367933271548
conll04,test,entity,Org,198,0.1835032437442076
conll04,test,entity,Other,133,0.12326227988878591
conll04,test,entity,Peop,321,0.2974976830398517
conll04,test,relation,Kill,47,0.11137440758293839
conll04,test,relation,Live_In,100,0.23696682464454977
conll04,test,relation,Located_In,94,0.22274881516587677
conll04,test,relation,OrgBased_In,105,0.24881516587677724
conll04,test,relation,Work_For,76,0.18009478672985782
