dataset,system,seed,epoch,step,loss,started_at_utc
conll04,eae,42,1,5,0.11888,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,10,0.01128,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,15,0.02236,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,20,0.05163,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,25,0.05892,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,30,0.05752,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,35,0.13891,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,40,0.03544,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,45,0.03335,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,50,0.03389,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,55,0.01648,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,60,0.00279,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,65,0.00752,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,70,0.07363,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,75,0.01425,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,80,0.02003,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,85,0.00025,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,90,0.04269,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,95,0.05483,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,100,0.01193,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,105,0.04875,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,110,0.05493,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,115,0.001,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,120,0.07242,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,125,0.01015,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,130,0.02215,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,135,0.00038,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,140,0.04469,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,145,0.00087,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,150,0.01572,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,155,0.03234,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,160,0.0176,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,165,0.0181,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,170,0.03817,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,175,0.03456,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,180,0.02671,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,185,0.03865,2026-09-04T04:13:40.146744+00:00
conll04,eae,42,1,190,0.00032,2026-09-04T04:13:40.146744+00:00
